id,ip,cidade,regiao,pais
1,52.101.200.0,RiodeJaneiro,RiodeJaneiro,BR
2,52.101.9.17,Ashburn,Virginia,US
3,52.101.41.3,SanJose,California,US
4,52.101.198.1,Campinas,SãoPaulo,BR
5,200.198.220.7,Brasília,FederalDistrict,BR
6,200.198.220.17,Brasília,FederalDistrict,BR
7,161.148.9.250,Brasília,FederalDistrict,BR
8,179.252.114.123,Goiânia,Goiás,BR
9,200.130.30.6,Brasília,FederalDistrict,BR
10,52.101.11.10,SanAntonio,Texas,US
11,45.171.50.29,Brasília,FederalDistrict,BR
12,67.219.250.212,TheDalles,Oregon,US
13,52.207.128.88,Ashburn,Virginia,US
14,18.208.22.79,Ashburn,Virginia,US
15,189.28.129.174,Brasília,FederalDistrict,BR
16,189.28.129.173,Brasília,FederalDistrict,BR
17,177.92.163.132,BelémdeSãoFrancisco,Pernambuco,BR
18,177.92.163.142,BelémdeSãoFrancisco,Pernambuco,BR
19,177.86.143.130,BeloHorizonte,MinasGerais,BR
20,64.233.186.27,Santiago,SantiagoMetropolitan,CL
21,64.233.184.27,Brussels,BrusselsCapital,BE
22,142.250.27.27,Amsterdam,NorthHolland,NL
23,142.250.153.27,Delfzijl,Groningen,NL
24,142.251.9.27,Groningen,Groningen,NL
25,187.29.162.15,RiodeJaneiro,RiodeJaneiro,BR
26,187.29.162.14,RiodeJaneiro,RiodeJaneiro,BR
27,187.29.11.36,RiodeJaneiro,RiodeJaneiro,BR
28,52.101.11.3,SanAntonio,Texas,US
29,52.101.42.18,MosesLake,Washington,US
30,18.208.22.77,Ashburn,Virginia,US
31,52.101.8.42,DesMoines,Iowa,US
32,200.198.220.179,Brasília,FederalDistrict,BR
33,200.198.220.178,Brasília,FederalDistrict,BR
34,52.101.11.13,SanAntonio,Texas,US
35,52.101.198.0,Campinas,SãoPaulo,BR
36,52.101.41.26,SanJose,California,US
37,52.101.40.2,Cheyenne,Wyoming,US
38,177.84.201.239,Macapá,Amapá,BR
39,161.148.50.251,Brasília,FederalDistrict,BR
40,52.101.8.34,DesMoines,Iowa,US
41,52.101.40.1,Cheyenne,Wyoming,US
42,52.101.40.24,Cheyenne,Wyoming,US
