id,dominio_id,mx_records,ip,localizacao_id,prioridade
1,2,abc-gov-br.mail.protection.outlook.com,52.101.200.0,1.0,0.0
2,3,abcd-gov-br.mail.protection.outlook.com,52.101.9.17,2.0,5.0
3,3,abcd-gov-br.mail.protection.outlook.com,52.101.9.17,2.0,10.0
4,4,abcnaidadecerta-gov-br.mail.protection.outlook.com,52.101.41.3,3.0,0.0
5,5,abgf-gov-br.mail.protection.outlook.com,52.101.198.1,4.0,0.0
6,6,mx01.abin.gov.br,200.198.220.7,5.0,10.0
7,6,mx02.abin.gov.br,200.198.220.17,6.0,10.0
8,7,smtp.abrasil.gov.br,161.148.9.250,7.0,10.0
9,9,mail.ac.gov.br,179.252.114.123,8.0,0.0
10,14,mx.acraiz.gov.br,200.130.30.6,9.0,1.0
11,14,mx.acraiz.gov.br,200.130.30.6,9.0,5.0
12,15,mail.acre.gov.br,179.252.114.123,8.0,0.0
13,17,aeb-gov-br.mail.protection.outlook.com,52.101.11.10,10.0,0.0
14,23,mail.infraero.gov.br,45.171.50.29,11.0,10.0
15,24,smtp01.radiobras.gov.br,NULL,,10.0
16,27,cluster1.us.messagelabs.com,67.219.250.212,12.0,10.0
17,27,cluster1a.us.messagelabs.com,52.207.128.88,13.0,20.0
18,29,cluster1.us.messagelabs.com,67.219.250.212,12.0,10.0
19,29,cluster1a.us.messagelabs.com,52.207.128.88,13.0,20.0
20,33,0f2532e9-ffe2-4f18-992f-bc109b59ed59.in.tmes.trendmicro.com,18.208.22.79,14.0,0.0
21,35,smtp.aids.gov.br,189.28.129.174,15.0,10.0
22,35,ex-ed-01.aids.gov.br,189.28.129.173,16.0,10.0
23,35,ex-ed-02.aids.gov.br,189.28.129.174,15.0,10.0
24,37,zimbra.aleam.gov.br,177.92.163.132,17.0,10.0
25,37,webmail.aleam.gov.br,177.92.163.142,18.0,20.0
26,38,smtp.alemg.gov.br,177.86.143.130,19.0,5.0
27,39,smtp.almg.gov.br,177.86.143.130,19.0,5.0
28,42,aspmx.l.google.com,64.233.186.27,20.0,1.0
29,42,alt1.aspmx.l.google.com,64.233.184.27,21.0,5.0
30,42,alt2.aspmx.l.google.com,142.250.27.27,22.0,5.0
31,42,alt3.aspmx.l.google.com,142.250.153.27,23.0,10.0
32,42,alt4.aspmx.l.google.com,142.251.9.27,24.0,10.0
33,45,amazonfund-gov-br.mail.protection.outlook.com,52.101.198.1,4.0,10.0
34,51,mx1.amazul.gov.br,187.29.162.15,25.0,9.0
35,51,mx3.amazul.gov.br,187.29.162.14,26.0,9.0
36,51,mx4.amazul.gov.br,187.29.11.36,27.0,9.0
37,52,an-gov-br.mail.protection.outlook.com,52.101.11.3,28.0,0.0
38,53,ana.in.tmes.trendmicro.com,18.208.22.79,14.0,0.0
39,54,anac-gov-br.mail.protection.outlook.com,52.101.42.18,29.0,0.0
40,56,anatel-gov-br.in.tmes.trendmicro.com,18.208.22.77,30.0,10.0
41,57,ancine-gov-br.mail.protection.outlook.com,52.101.8.42,31.0,0.0
42,58,agent.aneel.gov.br,200.198.220.179,32.0,10.0
43,58,master.aneel.gov.br,200.198.220.178,33.0,100.0
44,58,coulomb.aneel.gov.br,200.198.220.179,32.0,100.0
45,58,mailsrv.aneel.gov.br,200.198.220.179,32.0,100.0
46,59,anm-gov-br.mail.protection.outlook.com,52.101.11.13,34.0,10.0
47,60,anp-gov-br.mail.protection.outlook.com,52.101.8.42,31.0,10.0
48,61,anpd-gov-br.mail.protection.outlook.com,52.101.198.0,35.0,0.0
49,62,ans-gov-br.mail.protection.outlook.com,52.101.41.26,36.0,0.0
50,63,antaq.in.tmes.trendmicro.com,18.208.22.77,30.0,10.0
51,64,antt-gov-br.mail.protection.outlook.com,52.101.40.2,37.0,10.0
52,65,cluster1.us.messagelabs.com,67.219.250.212,12.0,10.0
53,65,cluster1a.us.messagelabs.com,52.207.128.88,13.0,20.0
54,66,antispam.ap.gov.br,177.84.201.239,38.0,0.0
55,69,protection.serpro.gov.br,161.148.50.251,39.0,10.0
56,72,arquivonacional-gov-br.mail.protection.outlook.com,52.101.8.34,40.0,0.0
57,73,relay.mdic.gov.br,NULL,,10.0
58,73,smtp2.mdic.gov.br,NULL,,15.0
59,80,smtp01.radiobras.gov.br,NULL,,10.0
60,80,smtp02.radiobras.gov.br,NULL,,20.0
61,81,ba-gov-br.mail.protection.outlook.com,52.101.40.1,41.0,0.0
62,83,badesc-gov-br.mail.protection.outlook.com,52.101.40.24,42.0,10.0
63,87,d001smt14.bnb.gov.br,198.17.120.44,43.0,20.0
64,87,d001smt15.bnb.gov.br,198.17.121.44,44.0,20.0
65,90,bcb-gov-br.mail.protection.outlook.com,52.101.10.12,45.0,10.0
66,95,mailscan-in.serpro.gov.br,161.148.21.200,46.0,0.0
67,97,mail.bn.gov.br,177.223.196.212,47.0,10.0
68,97,bn-gov-br.mail.protection.outlook.com,52.101.198.0,35.0,20.0
69,97,correio.bn.gov.br,200.9.175.158,48.0,30.0
70,98,bnb-gov-br.mail.protection.outlook.com,52.101.9.2,49.0,0.0
71,100,bndes-gov-br.mail.protection.outlook.com,52.101.198.0,35.0,0.0
72,108,esa01.presidencia.gov.br,170.246.255.51,50.0,5.0
73,108,esa02.presidencia.gov.br,170.246.255.52,51.0,10.0
74,110,smtp053.gdfnet.df.gov.br,131.72.222.253,52.0,5.0
75,110,smtp054.gdfnet.df.gov.br,131.72.222.254,53.0,5.0
76,110,smtp051.gdfnet.df.gov.br,131.72.221.51,54.0,15.0
77,113,alpha.planalto.gov.br,170.246.255.10,55.0,5.0
78,115,mailmx.abc.gov.br,201.36.109.91,56.0,10.0
79,116,caxias.irbbrasilre.com,200.214.65.150,57.0,10.0
80,116,tijuca.irbbrasilre.com,189.125.177.216,58.0,10.0
81,117,smtp-serpro01.mds.gov.br,200.198.205.29,59.0,10.0
82,117,smtp-serpro02.mds.gov.br,200.198.205.30,60.0,10.0
83,133,aspmx.l.google.com,64.233.186.27,20.0,1.0
84,133,alt1.aspmx.l.google.com,64.233.184.27,21.0,5.0
85,133,alt2.aspmx.l.google.com,142.250.27.27,22.0,5.0
86,133,aspmx2.googlemail.com,64.233.184.27,21.0,10.0
87,133,aspmx3.googlemail.com,142.250.27.26,61.0,10.0
88,135,mailscan-in.serpro.gov.br,161.148.21.200,46.0,0.0
89,139,cade-gov-br.mail.protection.outlook.com,52.101.9.14,62.0,0.0
90,142,smtp-serpro01.mds.gov.br,200.198.205.29,59.0,0.0
91,142,smtp-serpro02.mds.gov.br,200.198.205.30,60.0,0.0
92,143,caixa-gov-br.mail.protection.outlook.com,52.101.11.15,63.0,0.0
93,161,souzinha1.camara.gov.br,200.219.133.161,64.0,10.0
94,161,souzinha2.camara.gov.br,200.219.133.162,65.0,10.0
95,161,souzinha3.camara.gov.br,200.219.133.163,66.0,10.0
96,163,relay.mdic.gov.br,NULL,,10.0
97,163,smtp2.mdic.gov.br,NULL,,15.0
98,168,capes-gov-br.mail.protection.outlook.com,52.101.42.6,67.0,0.0
99,169,mx.capitalderisco.gov.br,200.212.144.20,68.0,10.0
100,175,esa01.presidencia.gov.br,170.246.255.51,50.0,5.0
101,175,esa02.presidencia.gov.br,170.246.255.52,51.0,10.0
102,176,casadamoeda-gov-br.mail.protection.outlook.com,52.101.10.1,69.0,0.0
103,177,esa01.presidencia.gov.br,170.246.255.51,50.0,5.0
104,177,esa02.presidencia.gov.br,170.246.255.52,51.0,10.0
105,178,mail.casaruibarbosa.gov.br,187.0.209.84,70.0,10.0
106,181,cauac-gov-br.mail.protection.outlook.com,52.101.194.13,71.0,10.0
107,182,caual-gov-br.mail.protection.outlook.com,52.101.9.2,49.0,10.0
108,183,cauam-gov-br.mail.protection.outlook.com,52.101.11.15,63.0,10.0
109,184,cauap-gov-br.mail.protection.outlook.com,52.101.42.6,67.0,10.0
110,185,cauba-gov-br.mail.protection.outlook.com,52.101.9.26,72.0,10.0
111,186,caubr-gov-br.mail.protection.outlook.com,52.101.40.0,73.0,10.0
112,187,cauce-gov-br.mail.protection.outlook.com,52.101.40.0,73.0,10.0
113,188,caudf-gov-br.mail.protection.outlook.com,52.101.9.14,62.0,10.0
114,189,caues-gov-br.mail.protection.outlook.com,52.101.10.14,74.0,10.0
115,190,caugo-gov-br.mail.protection.outlook.com,52.101.11.15,63.0,10.0
116,191,cauma-gov-br.mail.protection.outlook.com,52.101.8.51,75.0,10.0
117,192,caumg-gov-br.mail.protection.outlook.com,52.101.11.2,76.0,10.0
118,193,caums-gov-br.mail.protection.outlook.com,52.101.11.15,63.0,10.0
119,194,caumt-gov-br.mail.protection.outlook.com,52.101.194.13,71.0,10.0
120,195,caupa-gov-br.mail.protection.outlook.com,52.101.41.56,77.0,10.0
121,196,caupb-gov-br.mail.protection.outlook.com,52.101.8.51,75.0,10.0
122,197,caupe-gov-br.mail.protection.outlook.com,52.101.10.6,78.0,0.0
123,198,caupi-gov-br.mail.protection.outlook.com,52.101.8.51,75.0,0.0
124,199,caupr-gov-br.mail.protection.outlook.com,52.101.42.10,79.0,10.0
125,199,ms32310411.msv1.invalid,NULL,,32767.0
126,200,caurj-gov-br.mail.protection.outlook.com,52.101.40.4,80.0,10.0
127,201,caurn-gov-br.mail.protection.outlook.com,52.101.41.56,77.0,0.0
128,202,cauro-gov-br.mail.protection.outlook.com,52.101.42.16,81.0,0.0
129,203,caurr-gov-br.mail.protection.outlook.com,52.101.42.18,29.0,0.0
130,204,caurs-gov-br.mail.protection.outlook.com,52.101.40.0,73.0,0.0
131,205,causc-gov-br.mail.protection.outlook.com,52.101.11.2,76.0,0.0
132,206,cause-gov-br.mail.protection.outlook.com,52.101.8.44,82.0,10.0
133,207,causp-gov-br.mail.protection.outlook.com,52.101.42.16,81.0,0.0
134,208,cauto-gov-br.mail.protection.outlook.com,52.101.41.56,77.0,10.0
