id;dominio;dns;status
1;a2000.gov.br;;0
2;abc.gov.br;abc-gov-br.mail.protection.outlook.com;1
3;abcd.gov.br;abcd-gov-br.mail.protection.outlook.com,abcd-gov-br.mail.protection.outlook.com;1
4;abcnaidadecerta.gov.br;abcnaidadecerta-gov-br.mail.protection.outlook.com;1
5;abgf.gov.br;abgf-gov-br.mail.protection.outlook.com;1
6;abin.gov.br;mx01.abin.gov.br,mx02.abin.gov.br;1
7;abrasil.gov.br;smtp.abrasil.gov.br;1
8;ac-jus.gov.br;;0
9;ac.gov.br;mail.ac.gov.br;1
10;acesso.gov.br;;0
11;acessoainformacao.gov.br;;0
12;acessoinformacao.gov.br;;0
13;acjus.gov.br;;0
14;acraiz.gov.br;mx.acraiz.gov.br,mx.acraiz.gov.br;1
15;acre.gov.br;mail.acre.gov.br;1
16;acs.gov.br;;0
17;aeb.gov.br;aeb-gov-br.mail.protection.outlook.com;1
18;aerofacil.gov.br;;0
19;aeroportodebrasilia.gov.br;;0
20;aeroportodesalvador.gov.br;;0
21;aeroportoindustria.gov.br;;0
22;aeroportoindustrial.gov.br;;0
23;aeroshopping.gov.br;mail.infraero.gov.br;1
24;agenciabrasil.gov.br;smtp01.radiobras.gov.br;1
25;agenciacamara.gov.br;;0
26;agespacial.gov.br;;0
27;agricultura.gov.br;cluster1.us.messagelabs.com,cluster1a.us.messagelabs.com;1
28;agritempo.gov.br;;0
29;agro.gov.br;cluster1.us.messagelabs.com,cluster1a.us.messagelabs.com;1
30;agroecologia.gov.br;;0
31;agrolivre.gov.br;;0
32;agronet-pe.gov.br;;0
33;agu.gov.br;0f2532e9-ffe2-4f18-992f-bc109b59ed59.in.tmes.trendmicro.com;1
34;ahsul.gov.br;;0
35;aids.gov.br;smtp.aids.gov.br,ex-ed-01.aids.gov.br,ex-ed-02.aids.gov.br;1
36;al.gov.br;;0
37;aleam.gov.br;zimbra.aleam.gov.br,webmail.aleam.gov.br;1
38;alemg.gov.br;smtp.alemg.gov.br;1
39;almg.gov.br;smtp.almg.gov.br;1
40;almoxarifadovirtual.gov.br;;0
41;am.gov.br;;0
42;amapa.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
43;amazonasenergia.gov.br;;0
44;amazonfund-bndes.gov.br;;0
45;amazonfund.gov.br;amazonfund-gov-br.mail.protection.outlook.com;1
46;amazoniafund.gov.br;;0
47;amazoniafundo-bndes.gov.br;;0
48;amazoniafundo.gov.br;;0
49;amazonianfund-bndes.gov.br;;0
50;amazonianfund.gov.br;;0
51;amazul.gov.br;mx1.amazul.gov.br,mx3.amazul.gov.br,mx4.amazul.gov.br;1
52;an.gov.br;an-gov-br.mail.protection.outlook.com;1
53;ana.gov.br;ana.in.tmes.trendmicro.com;1
54;anac.gov.br;anac-gov-br.mail.protection.outlook.com;1
55;anapost.gov.br;;0
56;anatel.gov.br;anatel-gov-br.in.tmes.trendmicro.com;1
57;ancine.gov.br;ancine-gov-br.mail.protection.outlook.com;1
58;aneel.gov.br;agent.aneel.gov.br,master.aneel.gov.br,coulomb.aneel.gov.br,mailsrv.aneel.gov.br;1
59;anm.gov.br;anm-gov-br.mail.protection.outlook.com;1
60;anp.gov.br;anp-gov-br.mail.protection.outlook.com;1
61;anpd.gov.br;anpd-gov-br.mail.protection.outlook.com;1
62;ans.gov.br;ans-gov-br.mail.protection.outlook.com;1
63;antaq.gov.br;antaq.in.tmes.trendmicro.com;1
64;antt.gov.br;antt-gov-br.mail.protection.outlook.com;1
65;anvisa.gov.br;cluster1.us.messagelabs.com,cluster1a.us.messagelabs.com;1
66;ap.gov.br;antispam.ap.gov.br;1
67;api.gov.br;;0
68;apostasurpresa.gov.br;;0
69;app.gov.br;protection.serpro.gov.br;1
70;aprendendoaexportar.gov.br;;0
71;arquitetura.gov.br;;0
72;arquivonacional.gov.br;arquivonacional-gov-br.mail.protection.outlook.com;1
73;artesanatobrasileiro.gov.br;relay.mdic.gov.br,smtp2.mdic.gov.br;1
74;auxiliobrasil.gov.br;;0
75;avancabrasil.gov.br;;0
76;avancar.gov.br;;0
77;avancarparcerias.gov.br;;0
78;avasus.gov.br;;0
79;avisabr.gov.br;;0
80;avozdobrasil.gov.br;smtp01.radiobras.gov.br,smtp02.radiobras.gov.br;1
81;ba.gov.br;ba-gov-br.mail.protection.outlook.com;1
82;bacen.gov.br;;0
83;badesc.gov.br;badesc-gov-br.mail.protection.outlook.com;1
84;bancocentral.gov.br;;0
85;bancodeconteudos.gov.br;;0
86;bancodeoportunidades.gov.br;;0
87;bancodonordeste.gov.br;d001smt14.bnb.gov.br,d001smt15.bnb.gov.br;1
88;banconordeste.gov.br;;0
89;bc.gov.br;;0
90;bcb.gov.br;bcb-gov-br.mail.protection.outlook.com;1
91;bcc.gov.br;;0
92;bdjur.gov.br;;0
93;belomonte.gov.br;;0
94;bid2002brasil.gov.br;;0
